,idx,class,conversation
14,14,직장 내 괴롭힘 대화,"김사원
무슨 일이에요, 매니저님?
오늘까지 제출해야 해요. 대신 해 주실 수 있나요?
네? 할 일이 많아요.
아니요, 도와줄 수 없어요?
도와주고 싶지만 할 일이 많아요.
당신과 저는 마주보며 일해야 해요. 당신이 해낼 수 있나요?
네?
할 수 있다면 하지 마세요.
아니요, 제가 해드릴게요."
15,15,갈취 대화,"야, 내 전화기 빌려줘.
아니. 지난달에 전화 요금이 너무 많이 나와서 엄마한테 혼났어.
너 아르바이트 하냐? 닥치고 전화기 줘.
내가 전화기 주면 또 내야 해?
응, 게임 캐시 없어. 충전해.
아니, 진짜.
알았어, 줘?
내가 또 내는 게 들키면 네 전화기를 빼앗을지도 몰라.
야, 오늘은 왜 그렇게 소란을 피우니? 바로 주지 마.
부탁해."
16,16,갈취 대화,"잠깐만요, 저기 학생이요
허? 전화했나요?
누구라고 생각하세요?
왜 전화하세요?
지갑을 잃어버렸는데 돈이 없어요. 돈 있어요?
아니요, 현금이 없어요.
주머니를 열어.
안 될 거예요.
제가 판단할게요.
이건 제 돈이 아니에요.
줘? 좀 줄 수 있어요?

정말 제 돈이 아니에요."
17,17,갈취 대화,"얼마 가져왔어?
십만 원 정도.
야, 이걸로 새 폰을 어떻게 살 수 있어?
그게 제일 좋았어.
그럼 최선을 다하자, 너
때리지 마!
그럼 내일까지 세 번 해
어때?
아, 생각해봐
터무니없네."
18,18,기타 괴롭힘 대화,"야 이마가 빛나네
허?
야 그냥 때려줄게 쿵
아 허 왜

아팠어? 빛나니까 두드렸어 가만히 있어 쿵 쿵 야 두드리면 열릴까? 빛나니까 열릴까?

뭐야? 치워

왜 이렇게 화가 났어? 친구 사이에서 쿵 쿵 쿵
야 미쳤어?
야 이마가 빛나, 예쁘지 않아
울음 울음 울음"
19,19,직장 내 괴롭힘 대화,"나시의 정수기 물탱크를 교체할 수 있나요?
아니요. 저는 혼자 물을 마시지 않지만, 항상 마셔요.
우리 부서에서 나시는 유일한 남자 직원이에요.
그러니까 저는 직원이 아니라 직원이에요.
그러니까 제가 할 수 없다고 말씀하시는 거예요?
그게 아니에요. 제가 항상 물탱크를 교체하고 물건을 들어야 하는 건 불공평하다고 말씀하시는 거예요.
나시는 남자 직원이니까 우리 여자 직원보다 힘이 세고 더 많이 마셔야 하지 않나요?
저는 정수기를 거의 사용하지 않아요. 저는 제 물을 가져가서 마셔요.
그리고 제가 이 팀에 잘 어울릴 것 같아요?
제가 소외될 거라고 말씀하시는 거예요?"
20,20,협박 대화,"민수의 남자 제자?
네, 맞아요. 왜 이러는 거예요? 선생님은 어떻게 된 거예요?
뭐? 그냥 신장을 빼려고 하는 거예요.
허? 농담하지 마. 너무 농담하는 거 아니야?
아, 아마 애라서 상황을 판단 못 할 거야. 사진 보내줄 테니까 농담인지 아닌지 확인해 봐.
허? 왜 이러는 거예요? 신고할게. 바로 신고할게.
신고할 거야 아니면 어디 있는지 알아내서 신고할 거야?
내가 뭐 하라고 하면 최선을 다할게. 선생님을 다치게 하지 마.
그럼 내가 하는 대로 하면 깔끔하게 끝날 거야.
할게. 바로 할게."
21,21,갈취 대화,"지난번에 친구 지갑에서 돈을 훔쳤잖아.
왜 지금 꺼내?
야, 내가 다 날리기 전에 좀 줘.
왜 너한테 줘야 하지?
내가 다 날리겠다고 했잖아? 네가 훔친 돈의 주인과 다른 모든 사람에게?
얼마나 필요해?
그냥 10만 원만 줘.
야, 지금 10만 원이 없어.
다 날려야 할까?
내일까지 줄게."
22,22,기타 괴롭힘 대화,"아, 그 썩은 달걀 냄새는 어디서 나는 거야? 인간 냄새일 리가 없어.
뭐라고 했어?
그 애 뭐 하는 거야?
야, 야, 그냥 내버려둬. 기분 나빠할 거야.
너도 싸우고 싶어?
저주받았으니까 화난 거야?
왜 나한테 소리를 지르는 거야, 꼬마야?
왜냐하면 난 널 전혀 좋아하지 않거든."
23,23,협박 대화,"제발 따라오지 마. 제발
너 보러 가야 돼
우리 헤어졌어. 스토킹이야
아직 헤어지지 않았어. 넌 일방적으로 말했잖아
나 놓아줄 수 없니?
언제 날 괴롭힌다고 했어? 내가 너희 모두를 사랑하기 때문이야
내 집 비밀번호는 어떻게 알았어?
너 들어가는 걸 봤어. 네 남자친구는 못 봐? 네 집에 다른 남자가 숨어 있는 거야?
제발 그만해. 내가 아니라고 했어. 네 정신병 의심 때문에 헤어진 거야
뭐야? 정신 질환? 이년은 말을 끊었지? 내가 바람피는 걸 막으려면 내 다리 하나를 부러뜨려야 해. 퇴근해"
24,24,기타 괴롭힘 대화,"야. 거지!
저기 네 집이 판잣집이야?

.
판잣집이 뭐야?
왜 위에 있는 집들이 다 무너졌어?
다 유령의 집처럼 무너졌어?
바보야. 유령의 집은 무너지지 않아. 그 집 천장에 구멍이 있을 거야. 추워서 담요를 두르고 있는 거야. 어떻게든 얼어죽지 않고 살아남았어.
밖이 추워서 걱정이야. 뭐 말하는 거야? 야, 거지, 핫팩 하나 줄까? 추워서 이런 거 있으면 더 좋지 않을까? 하하.
와, 정말 사려 깊네. 멋지다. 내가 써본 게 하나 있어서 저녁까지 써.
내일 내가 써본 거 줄 테니까 꼭 가져가. 내가 줄 때 뭐할 거야?
외모 자랑해서 붉히는 거야? 어차피 거지가 되는 건 피할 수 없잖아."
25,25,기타 괴롭힘 대화,"자기야, 생활비 좀 줘
아니, 이 아내는 항상 돈 얘기해
아이들 학비.
아이들 때문에 변명하지 마!
입을 것도 쓸 것도 없어.
거짓말 하지 마, 배가 떨려
자기야. 그만하고 생활비 좀 줘
줄 수 없어! 줄 수 없어, 더 이상 뱃살 처지는 거 보고 싶지 않아
정말 먹을 것도 쓸 것도 없어. 제발 믿어줘.
꺼져, 똥덩어리야."
26,26,협박 대화,"조용히 하라고 했는데 이 애가 계속 시끄럽게 떠드는 거야?
그러지 마. 정말 네 잘못이야.
야, 내가 틀렸어도 나한테 뭐라고 하는 거야? 왜 신고해?
나쁜 일이니까.
경찰이야? 허? 경찰도 아닌 애가 남의 일에 간섭하는 거야.
하지만 그게 옳지 않아.
야, 이 고집 센 애, 입술에 멍이 들고도 정신 못 차렸구나. 아직 뇌가 터지지 않아서야?
부탁해. 여기서 멈추면 나도 조용히 있을게.
야, 조용히 있어도 상관없어. 이를 악물지 않으면 이가 빠질 거야, 애야.
부탁해 그만둬."
27,27,갈취 대화,"돈을 빌렸다면 갚아야지.
미안해. 시간을 더 줘.
왜 나야? 자선가야? 사업가야?
알아. 부탁해.
남은 게 별로 없어 보이네.
정말 빈털터리야. 한 번 봐.
하지만 그 차 한 대 있어?
내가 가진 전부야.
그럼 내게 줘. 누군가에게 돈을 빌렸는데 편안하게 운전할 수 있을 거라고 생각했어? 걸어가야지. 쉬면서 갚아야지.
하지만 이자가 너무 높아.
그럼 이제 빌렸다고 불평하는 거야? 후회해서? 웃기지 마. 내가 가져갈게."
28,28,협박 대화,"내가 여기 와서 널 잘게 썰어 죽일 거야
제발 살려줘
아니, 그냥 네 장난감으로 놀고 싶어
제발 그만해
그리고 이 칼로 네 몸의 장난감으로 놀아야지
왜 그러는 거야?
칼로 찌르는 건 재밌잖아
제발 살려줘
살아 있는 아이는 재미없어
봐, 년아, 난 경찰이야. 미친 사이코패스야
그냥 날 쏘면 네 머리를 잘라줄게"
29,29,기타 괴롭힘 대화,"바보가 아이스크림을 먹어도 괜찮을까?
먹을 수 없어? 그만해.
물론이지, 너는 공부를 정말 못하는 외톨이야.
야, 닭머리, 넌 헛소리하고 있잖아. 동물 농장에 가자.
학교 폭력으로 신고하기 전에 그만해.
어머, 무서워. 제발 날 구해줘. 으악.
제발 여기서 나가.
내가 그 사람이었다면, 아이스크림 먹는 대신 공부할 거야.
그만해!
그래서 때린 거야."
30,30,갈취 대화,"와, 기분이 좋은데 방해해서 미안해.
누구. 누구야? 이 애가 갑자기
쉿, 사장님, 흥분하지 마. 난 이 여자의 오빠야. 하지만 안타깝게도 그녀는 아직 18살이 아니야.
뭐야? 저거. 뭐야? 우리 사랑에 빠졌어.
푸하하하, 이 남자 재밌네.
나. 야, 내가 실수한 것 같아, 용서해.
용서해 줄게, 하지만 뭔가 필요해. 당신 아내의 전화번호는 뭐였어?
돈이 필요하면 주식을 팔아야 한다 해도 줄게. 부탁해.
사장님이 은행을 소유한 건물 기억나?
어떻게 그랬어?"
31,31,기타 괴롭힘 대화,"나를 따라하는 거야?
나? 나는 너를 따라하는 게 아니야.
뭐라고? 여기 사진이 있어. 내가 누군지 모르겠어? 정신 차리려면 잠깐 쉬어야 해?
아니, 나야. 진짜 나 아니야. 이건 내가 아니야.
뭐라고? 닥쳐.
정말, 정말 나 아니야. 이런 곳에 가본 적이 없어.
야, 거짓말하지 말고 내가 짝사랑하는 사람과 놀았다고 하지 마. 다 들었고 이렇게 말하는 거야.
나 아니야. 그냥 나 같아.
야, 제이, 닥쳐.
얘들아, 그러지 마. 선생님한테 말할 거야."
32,32,협박 대화,"이렇게 계속 무시하면 가만히 있지 않을 거야
뭐할 거야?
지금 당장 네 집에 가서 다 말할 거야
정말 그럴 거야? 그만해
계속 무시하고 해결책을 내놓지 않아
내가 뭘 하길 바라?
지금 당장 집에 가서 네 아내한테 말할 거야
그거 안 돼. 그럼 이혼할 거야
그렇게 생각 없이 행동했어? 진짜 칼로 찢어버릴 거야
나도 가만히 있지 않을 거야. 소통이 안 되니까 계속 차단해
그렇게 행동하면 나도 가만히 있지 않을 거야"
33,33,기타 괴롭힘 대화,"야, 00 고등학교에 배정되는 게 뭐가 문제야?
00 고등학교가 왜 그렇게 나빠?
거기 성적이 끔찍해. 애들 다 멍청이거나 괴롭힘꾼이라고 들었어.
상관없어, 어차피 공부 잘하잖아.
뭐가 그렇게 대단한데? 네 친구들은 공부도 못하고 놀기만 해.
나는 그 애들하고 어울리지 않을 거야, 혼자 있을 거야.
너도 그 애들만큼 못하잖아, 그렇지? 고등학교에 가서 공부 잘하는 친구들을 사귈 거야.
알았어.
너는 어때? 네 인생은 망가졌어. 그만해."
34,34,기타 괴롭힘 대화,"야, 바보야.
하.
한숨 쉬었어? 야, 바보야.
그렇게 부르지 마.
뭐라고? 바보를 바보라고 부르니.
그런 말 하지 마.
야, 바보야. 손으로 똥을 닦을 수 있어?
그런 말 하지 마.
이 애가 형한테 대꾸하는 거야?
야, 때리지 마.
어머, 바보야!"
35,35,기타 괴롭힘 대화,"날 보지 말라고 했잖아
미안하지만 널 못 봤어
지금 널 보고 있어
아니, 일부러 한 게 아니야
널 봤어. 왜 거짓말을 해? 거짓말은 나쁜 거잖아?
.알았어
그럼 내가 옳았구나?
미안해, 내가 틀렸어
내가 뭘 잘못했지?

반성편지를 쓸게"
36,36,직장 내 괴롭힘 대화,"내가 몇 살이어서 이런 말을 할 수 있을까?
미안해
기본도 제대로 못 하면 어떡해?
미안해.
미안하다는 말은 듣고 싶지 않아, 제대로 못 하냐?
다음에 제대로 할게
그렇게 하면 다음이 없을 수도 있으니까 제대로 해!
네, 정말 미안해
집에서 재교육을 받아야 해, 요즘 젊은이들은 문제가 많아
. 미안해"
37,37,갈취 대화,"야, 오늘 지갑 안 가져왔으니까 5만원만 빌려줘.
아. 지난번에 빌린 돈 아직도 안 주네.
바빠서 오늘 돈 포함해서 바로 줄게.
약속 안 지켰다고 해서 주고 싶지 않아.
우리 뭐가 문제야?
아. 진짜 힘들어.
이번만 주면 다시 달라고 안 할 거야.
진짜 그만해.
더 이상 귀찮게 안 할 테니까 이번만 줘.
이번이 마지막이야."
38,38,직장 내 괴롭힘 대화,"매니저님, 오늘은 출근하시죠?
하지만?
아, 부모님이 너무 바빠서 직원들에게 문자 보내달라고 부탁드릴 수 있을까요?
사무실 업무가 아니겠어요?
아, 맞아요. 하지만 주말이니까 직원들에게 부탁할게요.
문자 보낼 수 없으니 와서 보내세요.
허?
못 들었어요? 와서 보내세요.
주말이라 사무실까지 오는 데 시간이 좀 걸릴 테니 한 번 보내주세요. 직원들이 보통 그렇게 하지 않나요?
아, 그건 모르겠지만 와서 보내세요. 끊으세요."
39,39,기타 괴롭힘 대화,"왜 내 사진을 포토샵해서 프로필 사진으로 만들었어?
왜 이게 너야?
맞아. 왜 내 얼굴과 몸을 이렇게 포토샵했어?
우리 얼굴이 좀 비슷해? 갑자기.
날 놀리려고 일부러 그러는 거야? 그리고 남의 사진으로 이러는 건 불법 아니야?
오 예 예, 뭐야? 내가 이런 짓을 했다는 증거 있어? 다른 사람이 내 폰으로 했을 수도 있어.
그럼 사진 지워.
싫어? 웃기긴 한데, 돼지처럼 생긴 게 뭐가 좋은 거야? 돼지 얼굴에 돼지 몸을 붙이는 게 잘못된 거야?
뭐야? 돼지야? 정말 조심해야 해.
너는 돼지 아니야? 걸을 때마다 으르렁거리는 소리가 나."
40,40,갈취 대화,"내게 줘, 내게 줘
아무것도 없는데, 뭐 줘야 할까?
찾아서 나오면 어떡해?
찾아, 찾아, 안 나오면 어떡해?
아무것도 없어.일하러 가거나 집에 가서 가져와.
죽고 싶지 않아.
정말 죽고 싶어?
왜 죽어야 하지?
아, 미친년아, 정신 차리려면 맞아야 해.
그만해.얼마나 필요해?
이제 정신 차리니?
얼마나 필요해?
10만 가져와."
41,41,협박 대화,"내 돈 훔쳤어?
아니, 왜 네 돈을 훔쳤어?
없어졌어?? 네 지갑에 있던 돈?
다른 데에 흘렸나 봐.
아, 웃기네. 네 집안이 엄청 가난하다고 했잖아.
그러니까 내가 훔쳤다고?
어떤 도둑이 그렇게 뻔뻔하게 자랑하냐?
정말 안 그랬어
너 같은 년이 다시 훔치지 못하게 손목을 부러뜨려야 하나?
정말 안 그랬어!!!
소리치지 마, 짜증나. 손목을 부러뜨리고 입을 가린 다음 정신 차리라고?"
42,42,직장 내 괴롭힘 대화,"야, 조 선생님, 이거 해.
네? 전화했어?
그럼 당신 말고 다른 사람 있어?
하지만 지금 직장에 있어서 그렇게 부르기엔 좀 지나치잖아.
그럼 직함 붙여서 불러야 하나? 그냥 제대로 일해.
네, 알겠어.
끝나면 저기 가서 쓰레기 버리라고. 치료실이 너무 더러워.
혼자 하기엔 너무 힘들어.
그럼 내가 늙었으니까 내가 해야 하나?
알겠어. 버리고 올게."
43,43,기타 괴롭힘 대화,"이번엔 약속한 걸 못 받았지?
나는 0.1 적게 받았어.
하지만 아직도 못 받았어, 돼지야. 왜 못 받았어?
나도 노력했어. 나도 노력했어. 안 되면 어떡해?
그 차가운 죽을 먹기로 했어. 돼지야, 그 이상한 소리 어디서 들었어?
나는 돼지가 아니야. 노력하면 예뻐질 거야.
돼지는 노력하면 예뻐져. 돼지가 예쁘면 얼마나 예쁘겠어? 모든 돼지는 다 똑같아.
내가 돼지가 아니라고 했잖아. 그러지 마.
네가 내 동생이라는 게 말도 안 돼. 돼지, 돼지, 돼지, 날 아는 척하지 마.
오빠, 싫어."
44,44,갈취 대화,"오! 이렇게 운전하면 어떡해요, 부인?
허? 뭐야?
주차하다가 오토바이를 들이받았어요.
뭐야? 당신 차가 주차선 바로 앞에 있어요.
여기 보세요. 제 오토바이가 이렇게 뒤집혔어요. 당신 차가 제 오토바이를 들이받았어요!
말도 안 돼요!
경찰에 신고할 수도 있지만, 여기는 호텔 주차장이에요. 제가 싸게 처리해드릴게요. 50달러? 어때요?
헛소리 하지 마세요.
그럼 경찰, 보험 회사, 그리고 당신 남편을 부를게요? 다음 주에 당신 남편과 운전 교습을 시작하세요.
이건 완전 사기예요."
45,45,직장 내 괴롭힘 대화,"이번에는 육아휴가를 쓰고 싶어요.
당신은 남자예요. 그게 무슨 육아휴가예요?
아내가 혼자 힘들어해요.
그럼 당신만 힘들어하는 거 아니에요?
하지만 회사 복지 혜택에 유급휴가 제도가 있다고 들었어요.
네, 써보세요. 써보세요.
무슨 소리예요?
휴가를 갔다가 돌아와서 당신에게 맞는 직장이 있는지 알아보세요.
너무 불공평해요.
지금 당장 그만두세요."
46,46,기타 괴롭힘 대화,"야 재형아
그 미친놈이 누군가를 재형이라고 부르잖아. 너 더러워
하.
하.? 야 바보야, 내가 더 짜증나. 너 혼자 귀찮게 하잖아
야, 재형아를 바보라고 부르지 마. 누군가를 바보라고 부르는 건 가련한 일이야
알았어, 미안해. 그만해. 내가 틀렸어
알았어, 현우야, 그냥 그만하자. 너무 이상하게 놀면 큰일 날 테니 나중에 놀자
아니, 웃기는 바보야, 나를 나쁜 사람으로 보이게 하는 거야? 그리고 네가 뭔데 나한테 명령해?
야 현우야, 그냥 적당히 하자. 그 더러운 놈이 널 만지면 우리만 괴롭힐 거야
나는 착한 사람이니까 참을게.
야, 내가 무슨 죄를 지었길래 적당히 하라고 해? 학교에서 만나, 먼지가 떨어질 때까지 맞을 준비를 해
이 녀석의 중학교 생활은 망가졌어
너는 잘못된 사람들과 어울렸어, 성적표 등급이 떨어질 준비를 해"
47,47,기타 괴롭힘 대화,"야, 내 민호 봐, 팔이 하나뿐이야
얘들아, 놀리지 마.
야, 뭐로 놀리는 거야? 놀리는 게 아니야
나한테는 놀리는 것처럼 들리잖아
하. 씨발 멍청아, 지고 싶어?
왜 갑자기 그러는 거야?
야, 너 때문에 화가 났어, 젠장
아니, 놀리는 것처럼 들리잖아
야, 놀리지 않는다고 몇 번이나 말해, 다시 말해, 다음에 죽여줄게
알았어, 미안해"
48,48,갈취 대화,"야, 좋은 말 했으면 두고 가
아빠가 사줬어
아니, 그냥 벗어서 빨리 가, 빌린 거야
아, 진짜, 아니야
야, 쉬운 거야? 두고 가
제발
소리 지르고 다 돌려줘
제발 돌려줘
뭐 돌려주는 거야, 바보야
아니"
49,49,협박 대화,"야, 게임팀의 킬마스터야?
응, 맞아. 왜 날 불렀어? 넌 작고 초등학생이라도 날 이길 수 없을 거야. 내 동생이 햄버거 사줄 테니까 기운 내서 집에 가.
야, 씨족전쟁이었는데 너 때문에 망했어. 우리 씨족 랭킹이 너 때문에 떨어졌어? 행복해?
야, 정말 그래서 그러는 거야? 그 애는 게임과 현실의 차이를 몰라. 그래서 히키코모리처럼 방구석에 사는 거야?
말할 수 있을 때 계속 말해. 말할 수 있을 때까지.
네가 누군지는 모르겠지만, 게임과 현실의 차이를 말해. 왜 사람을 죽였어? 랭킹이 떨어졌기 때문에 왜 사람을 죽였어?
알아. 내가 귀찮아서 그렇게 높게 만들었어. 네가 다 망쳤으니까, 네가 책임을 져야지. 당신이 말했듯이, 나는 게임과 현실의 차이를 알 수 없어서, 게임에서처럼 당신을 죽일 것입니다. 정말 바로 죽을 건가요?
야, 왜 이래? 그냥 게임일 뿐이니까 다시는 안 할게. 랭킹 올려줄게.
처음부터 그렇게 말했으면 나는 바로 죽었을 거야. 왜 사람들의 자존감을 낮춰야 해? 그 게임에서 이 총으로 한 번 사람을 헤드샷하면 바로 기절해? 당신 덕분에 그게 사실인지 시험해볼 수 있어. 야, 고맙습니다, 고맙습니다. 왜 이래? 그 총은 어디서 샀어? 빨리 내려놓으세요. 그러면 범죄자가 된다고 했잖아요?"
50,50,갈취 대화,"야, 지나가는 저 애 잘 지내?
응. 형, 우리 학교에서 착한 애들 중 하나야.
응. 좀 게으르긴 한데 우리 가족을 끝장낼 거라고 들었어.
그러니까 전화해.
응, 형!!
야, 형, 잠깐 만나야 돼.
나? 왜??
잔소리하고 가지 마, 알아. 따라와.
야, 집이 잘 산다고? 나가서 놀아야 하는데 아무것도 없어. 지갑 좀 빌릴 수 있어?
그러지 마. 돈 없어.
아, 정말? 그럼 내 가방 뒤져서 돈 찾으면 천 원 주고 얼굴을 때릴 거야? 맞고 싶어? 나한테 즐거운 시간을 주고 싶어?"
