,idx,class,conversation
15,15,협박 대화,"부양가족이 몇 명이나 되세요?
가족, 부탁합니다
그럼 왜 약속을 지키지 않으세요?
꼭 지킬게요
내가 늦는 날마다 한 명씩
기회를 주세요
가족을 지켜야 하잖아요?
네, 알겠습니다
이게 마지막이에요. 더 이상은 없을 거예요
꼭 기억할게요"
16,16,협박 대화,"너가 날 화나게 하면 어떡해야 할지 모르겠어
진정해
정말 날 찔러도 돼
미쳤어?
널 죽이고 나도 죽을 거야
뭐가 문제야, 진짜
네가 스스로 이 지경까지 왔잖아
이게 그렇게 화낼 일인가?
그래서 내가 그런 말을 했어야지
이봐, 바보야"
17,17,협박 대화,"지금 당장 내게 와서 좋은 말 해!
뭐가 문제야?
요즘 좀 말썽꾸러기 같다고 들었어?
난 그런 적이 없는데 왜 이러니?
지금 당장 오지 않으면 내가 찾아 칼로 찔러 죽일 거야.
내가 뭘 잘못했어?!!
처음부터 정말 싫어했어.
그냥 조용히 살았을 뿐이야.
그만해. 지금 당장 오지 않으면 죽는다.
잠깐. 신고할게."
18,18,기타 괴롭힘 대화,"아, 네 몸이 날 죽이네
허??
왜?
방금 뭐라고 했어?
하하, 귀가 예리하네, 글래머러스한 여자야.
뭐라고 했어?
남자들이 따라올 것 같아?
이 미친 놈.
앞으로 널 많이 사랑할 거야
경찰에 신고할 거야, 멍청아."
19,19,기타 괴롭힘 대화,"푸핫, 내 배 봐, 밥 먹고 있니?
아 왜 그래
아니, 널 보면 정말 한심하잖아
허?
결혼할 수 있어? 정말 뻔뻔해서 내가 너랑 어디든 갈 수 있어?
끝났다고 했지?
아니? 그게 더 있어, 제대로 자기 관리도 못하는 새끼야
내가 뚱뚱한 거랑 뭔 상관이야?
그만해. 돼지 냄새 나는 새끼한테 뭐 하는 거야? 말하지 마
뭐라고 했어?"
20,20,갈취 대화,"돈 좀 있어?
있어
하지만 다 줄게
그럼 차값만 내
차 끌고 걸어
너무 멀어
다른 사람한테 빌려
허?
맞고 싶어?
아니, 여기 있어"
21,21,협박 대화,"누구세요!?
아가씨, 불운하시네요.
누구. 누구세요? 왜 우리 집에 있는 거예요?
그냥 조용히 필요한 걸 가져가려고 했는데, 어떡해야 하나요? 걸렸어요.?
왜. 왜 이러는 거예요? 소리 지를 거예요!
소리지르라고요? 하하. 소리칠 시간 있어요? 글쎄요, 감옥에 가고 싶지 않아요. 하고 싶은 게 너무 많아요. 하지만 방해가 될 것 같아요?
제발 살려주세요. 신고는 안 할 거예요. 부탁이에요. 뭐든 가져가도 돼요. 제발 살려주세요.
지금? 제 얼굴을 보고 어떻게 믿고 살려줄 수 있어요? 결국 당신이 유일한 목격자고, 그 목격자가 세상에서 사라지는 게 최선일 텐데요, 맞죠?
진짜요. 입을 다물고 평생 모른 척할게요. 그냥 살려주세요.
닥쳐요. 날 봤다고 해서 죽을 거예요. 곧 끝날 거예요."
22,22,갈취 대화,"야 너 거기

너 누구야??
지금 얼마 있어??
왜 그래
지금 그냥 나갈 수 없지
그럼 뭐 할 거야??
가진 돈 다 꺼내지 않으면 저 세상 갈 수도 있어
뭐가 문제야
빨리 줘
난 못 가, 으악.??"
23,23,갈취 대화,"지갑 예쁘니?
오, 고맙습니다. 엄마가 사줬어요.
하지만 전혀 어울리지 않아요. 그냥 가져갈까요?
오. 아니요, 돌려줘요.
뭐 돌려줘야 할까요? 이런 게 어울릴 것 같아요? 써볼게요. 고맙습니다.
오, 정말, 아니요.
네, 얼굴은 아니에요. 어쨌든 잘 쓸게요.
돌려줄 수 있어요? 부탁해요.
야. 내가 쉬운 줄 알아? 어디서 날 잡아서 소란 피우려고?
오.
그 녀석. 꺼져."
24,24,직장 내 괴롭힘 대화,"팀장님, 이번 주 휴가가 끝나고 연차 휴가를 좀 쓰고 싶어요.
휴가가 끝나고 연차 휴가를 쓰지 말라고 했잖아요.
급한 일이 있어서요.
아니요. 더 쉬고 싶지 않은 사람이 어디 있겠어요?
일정을 바꾸려고 최선을 다했어요. 좀 어려웠어요.

어려워도 괜찮아요. 다시 제출해서 승인을 받으세요.
팀장님, 저는 보통 끝까지 못 해내니까 이번만은 해주세요.
재환 씨, 직장에서 해고당하고 싶어요?
팀장님. 무슨 일이 있어도...
마음에 들지 않으면 불평하지 말고 그냥 취소하세요."
25,25,갈취 대화,"야 너희 둘, 이리 와
왜 이러는 거야?
돈 얼마나 있어?
난 없어.
10원이라도 찾으면 때려줄게.
사실 돈은 있는데, 이건 학비야.
때리기 전에 내가 좋은 말 할 때 가져와.
정말 못하겠어. 제발 날 구해줘.
못하겠어. 오늘 때려줄게.
줄게."
26,26,협박 대화,"그렇게 신고하면 어떡해? 속이려는 거야? 미친 거야?
의도한 게 아니었어. 내가 한 거야.
뭐가 문제야? 그리고 항상 먼저 변명을 하려고 해? 먼저 사과해야 하지 않아?
미안해.
뭐가 미안해?
신고할 때 더 조심할게.
지난번에 실수하지 말라고 하지 않았어? 다시 하면 너도 나도 옷을 벗을 거야! 알겠어?
알겠어.
표정 좀 풀어. 뭐가 그렇게 인상적인 거야? 사람들을 기분 나쁘게 만드는 재주가 있는 듯해. 정말 죽여버릴 거야.
미안해.
기억해. 다시 하면 너와 네 가족 모두 죽을 거야.
알겠어. 미안해."
27,27,기타 괴롭힘 대화,"이거 예쁘지 않아요?
.
이거 입으면 잘 어울릴까요?
.
아가씨, 벙어리세요? 대답하세요. 고개 끄덕이지 마세요. 죽겠어요. 입이 없어요? 말도 못해요?
미안해요.
아, 짜증나고, 지루하고, 쓸모없어요."
28,28,직장 내 괴롭힘 대화,"정현이 남자친구 있어?
네, 있어요.
언제 결혼해?
우리 둘 다 아직 계획 없어. 좋은 일이 생기면 나중에 말해줄게.
일주일에 몇 번 데이트해? 만나면 뭐해?
너무 개인적인 질문은 하지 않았으면 좋겠어.
이게 뭐가 개인적인 거야? 그냥 궁금해서 묻는 거야. 이런 건 물어볼 수 없니?
다른 커플들처럼 만날 수 있을 때 만나서 같이 먹고 카페 가자.
결혼 안 할 거면 같이 사는 건 어때?
내가 알아서 할게."
29,29,기타 괴롭힘 대화,"야, 왜 그렇게 걸어?
그만해.
장애인이야?
그만해.
부모님도 장애인이야?
아니, 꺼져.
부모님이 장애인이어서 장애인이야?
그러지 말라고 했잖아.
야, 애들아, 이리 와. 장애인들이 시끄럽게 떠든다.
그만해."
30,30,직장 내 괴롭힘 대화,"이 연구자. 이걸 논문 리뷰라고 불렀어?
미안해. 주제에 집중한 줄 알았어.
그게 아니야, 창의적이지 않아, 알잖아.
그럼 어떤 방향이 좋을지 알려줄 수 있어?
그건 네가 알아내야 해. 선배한테 물어볼까?
미안해.
평가는 곧 올 테니까 기대해.
내일까지 제대로 하도록 할게.
그럼 내일 아침 6시에 와서 체크할 테니까 논문 리뷰 30페이지 정도 준비해.
알았어."
31,31,갈취 대화,"300만 원 빌려줘.
또? 지난번에도 빌렸어.
똑같아. 빨리 빌려줘.
지난번에 갚고 나서 말해.
뭐야? 사진과 정보 다 유출시키려는 거야?
그게 돈과 무슨 상관이야?
그러니까 내가 좋은 말 하면 빌려줘. 갚을게.
이제 협박해. 알겠어.
계좌번호 줄 테니까 적어. 알겠어. 언제 갚아야 해?
제발, 내일까지."
32,32,기타 괴롭힘 대화,뭐하는 거야? 정말 미안해.
33,33,기타 괴롭힘 대화,"당신은 소아성애자입니까?
뭐? 그게 당신에게 무슨 상관이에요?
형, 총에 맞아도 살아남을 거예요. 소아성애자는 농담이 아니에요.
그만해.
왜 내가 하는 걸 막는 거야? 그럼 소아성애자라고 부르지 마.
내가 뭐야? 내 가슴은 아스팔트 껌 조각 같은데, 지금 당장 나를 소아성애자라고 부르고 있잖아.
뭐? 다 말했어?
왜 그러지 않아? 사기꾼이야.
그만해."
34,34,직장 내 괴롭힘 대화,"인턴 김 씨, 여기 와서 어깨 문지르세요?
네? . 
어차피 할 일 별로 없잖아요? 와서 어깨 문지르세요.
매니저, 지금은 출근 시간이에요.
아니, 매니저가 하라고 했는데 왜 그렇게 말해요?
아니요. 하지만 제가 어깨 문지르는 건 옳지 않다고 생각해요.
요즘 사람들이 이렇게 멍청해요? 곧 정규직으로 전환되실 텐데, 항상 저를 보셔야 해요. 괜찮으세요?
네? . 
아, 정규직은 아니겠죠? 이거 만질 수 있을지 모르겠어요, 하하
아니요, 만질 수 있어요."
35,35,기타 괴롭힘 대화,"계속 이렇게 부르지 마

한번만 만나면 안 될까?한번만
이별하고 나서 뭐 만나?
아직 안 왔어.사랑해.
뭐가 좋아?그런 사람이 왜 둘째를 낳을까?
술에 취해서 몰랐어.
나를 그렇게 좋아하는 사람 만났으니 지금 끝내자.
아니, 잠깐만, 이혼하고 해결하자.
그러면 다른 사람 찾아.나 말고.
만나면 설명해줄게.
계속 이러면 임신한 아내한테 사진 보내줄게.
그러면 나도 가만히 있지 않을게.너랑 네 남자친구 집에서 폭로할 거야.
응, 드디어 정신 차렸구나.완전 펑크야.
너는 자신이 깨끗하다고 ​​생각해.좋아, 다 말하고 다시 시작하자.
뭐 시작하니, 펑크야? 한 번 더 전화해서 나를 찾아온다면, 당신을 아는 모든 사람들에게 당신이 이런 사람이라는 걸 알리겠어요."
36,36,협박 대화,"저 여자는 누구야?
너 누구야? 내 손에서 떨어져!!
오늘 누구 만났어? 왜 나 없이 다른 사람 만나?
뭐! 경찰에 신고할 거야!!!
날 잡은 건 너야, 뭐야? 왜 날 모르는 척해?
난 꽤 오래전부터 이런 기분을 느껴왔어. 너였어? 이게 스토킹이야. 알겠어?!!
스토커? 나한테 시시덕거린 건 너야. 나한테 잘 어울리려고 이런 옷도 입었잖아. 날 사랑한다는 건 알아.
이 사람 말 듣지 마. 야, 경찰에 신고할 거야.
지금 네 협박이 먹힐 것 같아? 이리 와, 이리 와!!!
아아! 제발 날 구해줘!! 아아! 아무도 없니??
오늘 누구 만났는지 말하기 전까지는 평생 내 손아귀에서 벗어날 수 없을 거야. 믿어도 돼. 죽어서도 넌 내 것이니까."
37,37,기타 괴롭힘 대화,"엄마, 5만원만
집에 오자마자 왜 돈 얘기해?
아, 참고서 사야되는데 빨리 5만원 줘.
매일 무슨 참고서 사?
아, 그냥 줘.
그저께 참고서 사느라 쓴 5만원은 어떡해?
아, 이미 썼어.
영수증 가져와.
아, 무슨 영수증이야? 그냥 줘.
야, 엄마는 천원도 안쓰는데 넌 항상 돈 가지고 가서 뭐에 써?"
38,38,갈취 대화,"네가 가진 돈을 다 줘
난 없어
내가 빨리 말하면
난 없어
나오면 죽는다
맞아
죽고 싶어?
나를 죽여
정말"
39,39,직장 내 괴롭힘 대화,"김 선생님, 퇴근 후에 뭐하세요?
할 일이 좀 있어요.
다음 시간으로 미루죠. 공항에서 아들을 데리러 올 수 있나요?
좀 어려울 수도 있어요.
왜요?
집에서 아이들도 돌봐야 해요.
승진하고 싶지 않아요?
아니요.
그럼 말대꾸하고 거절하는 대신 바로 이해했다고 말해야죠.
알겠어요."
40,40,갈취 대화,"민수야, 빵 사먹을 5만원 줘.
미안, 오늘 돈 없어.
불평하지 말고 5만원만 줘.
어디서 그렇게 많은 돈을 냈어?
지금 반항하는 거야?
정말 돈이 없어서야.
부모님께 거짓말을 하더라도 좀 줘.
어떻게든 구해 볼게.
그렇게 들어주면 얼마나 좋을까?
응."
41,41,협박 대화,"내가 원한다면 너 같은 사람이 여기 발도 들이지 못하게 할 수 있다는 걸 알아?
내가 뭘 잘못했어?
네 오만하고 불행한 태도가 문제야.
나는 무례한 짓을 한 적이 없어.
너 때문에 웃는 거야. 그게 네 기준이고, 너는 너무 많은 짓을 해서 네 행운이 다 날아가고 얼굴을 긁고 싶어.
말하지 마.
왜 나야?? 왜 눈이 그렇게 커? 네 오만함이 정말 하늘 높이야?? 아무것도 두렵지 않아? 싱글맘을 지지한다고 하면서, 여기서 해고당하면 엄마한테 요리해줄 거야?
왜 이러는 거야?
왜 이러는 거야, 꼬마야. 다치고 해고당하고 싶지 않다면, 그냥 눈을 감고 나를 존중해. 나는 네 상사의 친구야.
너는 네 상사의 친구지, 네 상사가 아니야.
이거 보여?"
42,42,갈취 대화,"엄마, 이번엔 500만 보내줘.
이거 보낸 지 얼마나 됐어? 왜 또 보내??
급히 필요해서.
지난번에 300을 받은 지 얼마 안 됐어.
지금 급하다고 하네!!!
이 애 미친 거야?
돈 안 주면 그냥 죽는 거야.
또 무슨 사고를 낸 거야??
다른 얘기하자. 돈 줄 거야? 아니면 안 줄 거야? 네 자식이 죽어도 괜찮다고 생각해?
알았어. 잠깐만."
43,43,협박 대화,"좋은 연구 주제를 고르라고 했는데, 왜 쓰레기만 가져오는 거야?
미안해.
박사 10년차인데 졸업하고 싶지 않아?
미안해.
가족이 있는데 연구비를 삭감하고 싶지 않아.
.
금요일까지 주제를 고르지 않으면, 3일 후인데, 연구비를 삭감하고 연구실에 묶어서 나올 수 없게 할 거야.
최선을 다할게.
지난번처럼 한 손을 잃고 도망치는 게 더 빠르니까 좋은 주제를 골라.
알았어."
44,44,협박 대화,"아무것도 없다고 했으니까 건강하셔서 다행입니다. 신장은 괜찮으신지 궁금합니다.
바로 처리해 드리겠습니다.
일주일 전에 들었어요?
하루만 더 주시면
하루? 이게 마지막 기회입니다.
네, 알겠습니다.
저도 이 시간 이후로 내일이
마지막이라는 걸 알고 있습니다.
내일 오후 2시.
네, 꼭 처리해 드리겠습니다."
45,45,직장 내 괴롭힘 대화,"에이전트!!!!!
전화했어?
제대로 처리 안 할 거야!? 그게 다야??
뭐가 문제야.
보고서를 발로 썼어? 뭐야!! 회의 연기한 지 얼마나 됐어? 확인도 안 하고 뭐했어??
미안해.
그게 다야? 미안해. 이 때문에 에이전트야.
. 미안해.
알았으면 제대로 해. 알았어!!??
응."
46,46,기타 괴롭힘 대화,"아니, 다른 사위들은 착하니까 차 사주고 골프 치러 가게 해줄 거야.
아, 자기야, 김 씨 말 잘 들어. 그러지 마.
내가 말했잖아. 아내 집에 오면 잘 먹어.
자기야, 제발.
내가 잘못 말했어?
자기야, 김 씨의 기분도 생각해.
내가 싫어하는 사위를 왜 신경 써야 해?
아. 모르겠어. 진짜야.
너도 조용히 있어. 싫어하는 사위 편을 들려고 하지 마.
자기야. 그만해."
47,47,협박 대화,"야, 뭐라고? 다시 말해.
제발 날 구해줘, 애들아, 아니, 정말이야.
뭐라고? 우리가 너희를 구해줄 거라고 생각해? 너희 같은 사람은 존재하지 말아야 해.
제발, 애들아, 날 구해줘. 거짓말해서 미안하지만, 그럴 생각은 아니었어. 정말이야.
그럴 생각은 아니었어? 왜 그럴 생각이 아니었어? 그냥 나한테 말했을 뿐이야.
그럴 거야. 요즘 야구는 공공의 해악이야.
아니, 애들아. 제발 날 구해줘. 간청해. 내가 틀렸어.
뭔가 잘못한 걸 안다면, 그 공을 네가 차지해야 해. 어디서 벗어날 수 있겠어?
제발, 제발 이러지 마.
더 많이 할수록 더 많이 맞을 거야. 조용히 있어."
48,48,협박 대화,"몰래 네 몸 사진을 찍었어
뭐라고??? 미친 거야??? 지금 당장 지워
싫어? 그럼 지금 당장 만나
정말 환멸이 난다
환멸? 미친 건 너야. 널 죽일 거야
날 죽여줄래?
응, 내가 원하면 널 찔러 죽일 수도 있어
정신병인 듯해
그래, 내가 정신병인 건 너 때문이야
어떻게 그렇게 위협할 수 있어? 범죄야."
49,49,협박 대화,"아야, 뭐해?
숙제.
숙제 하지 말고 내 심부름이나 해.
아니, 내 숙제는 내가 할게.
숙제가 중요해?
뭐?왜?
진짜야. 내가 한 번 해볼까.
뭐가 문제야?
내 심부름은 무시하고 글만 쓰는 건 왜야?
아, 알겠어. 갈게."
50,50,기타 괴롭힘 대화,"민수 이름으로 예약했어요.
게스트 예약이 안 됐어요.
제 이름으로 예약했어요.
확인해봤는데 예약이 안 됐어요.
여기 실수가 있어서 자리 주세요.
예약이 안 돼서 힘들어요.
제가 앉고 싶은 데 앉을 테니까 원하는 대로 하세요.
밖으로 나가서 기다려 주세요.
못 가요. 자리 주세요.
자리가 없으면 어떻게 해야 하나요?"
51,51,갈취 대화,"친구
허? 나?
아, 넌 내 친구야
그래.
돈 있어?
아니, 없어
정말 없어?
그래.
찾으면?
정말 없어.
찾으면 찾을 수 있어. 내가 곤경에 처해야 하나?"
52,52,갈취 대화,"야, 너희 길동중학교 출신이지?
응? 응.
내가 거기 있었는데, 수근이 알아?
오 응, 그 형 알아.
내 친한 후배야.
오 응
우리 형 지금 노래방 가는데 돈 없어? 너희 돈 얼마나 있어?
아, 우리 돈 없어.
돈 없으면 비공식으로 이야기하고, 돈 있으면 수근이한테 이야기해. 너희?
아, 미안해. 여기서 말해줄게."
53,53,협박 대화,"실례합니다. 여기는 2003호실입니다. 제 아이가 집에 오지 않아서 확인해보니 이 집으로 들어간 것 같습니다. 제 아이가 이 집에 있는 건가요?
모든 것을 살펴보고 무슨 일인지 물어본 후, 저는 매우 조심스럽게 아이를 이곳이 아닌 다른 보관실로 옮겼습니다.
허? 왜 제 허락 없이 아이를 데리고 다니세요?
제 허락을 받고 온종일 집안을 돌아다녔나요?
정말 죄송합니다. 아이는 아직 자라고 있습니다.
죄송합니다. 미안하다고 하면 이야기가 끝날 것 같아요? 알겠습니다. 깔끔하게 처리하겠습니다.
정말 죄송합니다. 아이가 뛰게 두지 않을 겁니다. 제대로 교육시키겠습니다.
아니요, 저는 이미 마음먹었습니다. 아이가 당신을 보거나 걷게 두지 않을 겁니다. 어느 쪽이든 당신의 일상 생활을 방해하지 않을 겁니다.
허? 정말 죄송합니다. 지금 백 번, 천 번 사과해도 기분 좋아지지 않을 거 알지만 5년 만에 온 소중한 자식이니까 용서해 주세요.
그냥 돌려보내면 제 인생 망가질 테니 신고 안 한다는 서약서 써 주세요. 약속 어기면 자식이 어떻게 될지 모르겠어요. 용서는 더 이상 없어요.
네 네 정말 미안해요. 정말 고맙습니다. 써서 바로 보내드릴게요. 꼭 약속 지키겠습니다."
54,54,기타 괴롭힘 대화,"허? 너무 예쁘고 내 스타일이니까 나랑 한 장만 찍어줘
허??
아니 내 스타일이니까 이상형이야! 한 장만
아, 연예인이 아니라서 좀 불편해
야, 사진 한 장에 너무 까다로우면 남자친구가 안 좋아해
난 남자친구 없어, 그럼 갈게
야, 그러지 마, 한 장만
아, 왜 그래? 싫어한다고 했잖아
아, 진짜 비싼데. 누가 보면 어떨지 알아?
그게 아니야. 왜 그래?
그러니까 좋은 말 할 때 사진 찍었으면 좋았을 텐데!"
55,55,직장 내 괴롭힘 대화,"당신. 당신은 야간 근무를 하게 될 겁니다.
네? 오늘은 제 차례가 아닙니다.
사장님이 하라고 하면 하겠습니다. 제가 너무 시끄럽나요?
알겠습니다. 초과 근무 수당은 어디에서 신청할 수 있나요?
어떤 종류의 초과 근무 수당인가요? 어디에 있나요?
네? 그럼 그냥 초과 근무하라고 하시는 건가요?
회사에서 처리해야 하나요?
아니요. 그래도요.
회사를 그만두시겠어요?
죄송합니다."
56,56,협박 대화,"사랑해서 헤어진 거 아니었어? 왜 또 나타나?
넌 틀린 사람이야. 진짜.
뭐라고? 왜 갑자기 그런 표정을 지어?
정말 오래 참았어. 네게 복수하려고 칼을 갈았어.
그렇게 소름돋게 웃지 마. 너무 무섭잖아.
널 어떻게 잊을 수 있겠어? 죽어야 할 사람들이 있어. 죽어!!!!!!!
이런 일이 일어날 줄 알았어. 경찰에 신고해.
널 빨리, 쉽게 풀어줄게.
그만해!!
죽어!! 쓰레기야!!!"
57,57,직장 내 괴롭힘 대화,"야, 그런 척 그만해. 널 보고 싶지 않아.
그래서 네 동료들이 다 널 싫어하는 거야. 네가 다 그걸 싫어한다고 생각해?
내가 언제 그런 척을 한 적이 있었어?
이 애 봐. 그러지 않는 척을 하고 있어.
야, 넌 항상 상사를 기쁘게 하려고 하고 네 이익만 챙기려고 해. 농담이지?
아니, 농담이 아니야.
싫증났어. 조용히 살면서 움츠러들어. 아무도 다치게 하지 마.
야, 다들 널 싫어하니 그냥 회사를 그만두렴.
하지만 넌 괴롭힘을 당하고 있다는 걸 모르는 듯해. 운이 없구나.
하."
