,idx,class,conversation
12,12,협박 대화,네네일때문에우리애가지우개하나훔친거가지고애들앞에서면박줬니?그런게아니고댁내따님분이한두번훔친것도여러번훔친확인경찰부르는건너무심할거꾸중한마디한겁니다.아니그구멍가게물건이얼마한다고그러냐고내애가맨날확실해?네본애들도확실합니다됐고내애울면서했어이번일각오하는게좋을거야애있다며?제애까지마세요울면서들어왔는데그냥못넘어가니애죽여버릴거야마세요저도곤란합니다.교육차원에서한마디뿐이라고요됐고아저기네애보이네죽여버릴테니까니아들죽은거보고그때반성해남애함부로어떻게되는지
13,13,갈취 대화,형!형!저저요.?여기형말고누가있어?형얼마있어?저.저.돈없어요.근데.제가형이에요?에이잘생겼으니까형이지.형돈좀만주면안때릴게좀만많게생겼네진짜현금없어요.진짜요.놔주세요.에이지갑주머니에있네!내가지갑뒤져봐도돼?뒤져서나오면어떻게그냥줘저진짜로없어요.죄송해요.연다?내가말로만이러니까지갑에도돈없어요죄송해요.
14,14,직장 내 괴롭힘 대화,김사원대리님왜그러세요?이거오늘까지제출해야하는데좀네?저도할일이많아서요.아니좀도와달라잖아그것도못해줘?저도싶은데할일이많아서요.너랑나랑얼굴맞대고일해야하는데감당할수네?수있으면하지말든가아닙니다하겠습니다.
15,15,갈취 대화,야너휴대폰좀빌려줘봐지난달에도휴대폰요금이너무많이나와서엄마한테알닥치고폰이나내놔폰주면또결제하려고그러지?응게임캐시다떨어져서충전좀안돼진짜.맞고줄래그냥줄래?진짜한번만더결제한거들켰다가는휴대폰몰라아씨오늘따라왜이렇게말이많아당장안내놔?
16,16,갈취 대화,잠깐만거기학생예?저그럼누구겠어왜부르시죠내가지갑을잃어버려서돈이없다돈좀있녀아니요현금없어요있는거열어봐이건안되요그건내가판단해내놔봐이건제돈아니에요이리안줘?좀맞을래?그건정말제돈아니에요
17,17,갈취 대화,얼마가져왔어?정도.야이걸로새폰을어떻게사최선이었어.그럼최선을다해너제발마!3배로만들어그걸어떻게.아그건네가생각해야지말도
18,18,기타 괴롭힘 대화,야어?야한대만때려보자퍽흑왜그래아팠어?두드려봤다가만히있어봐퍽퍽야두드리니깐열리겠는데?빛이나다열리나?저리치워너왜그러냐친구사이에퍽퍽퍽야너미쳤어?야광이난다참흑흑흑
19,19,직장 내 괴롭힘 대화,나씨정수기물탱크좀갈아주시겠어요?싫습니다.물저만마시는것도아닌데매번저만하잖아요.저희부서유일한남자직원이잖아요.그러니까요저일꾼아니고직원입니다.그래서못해주겠다는건가요?그런게아니고매번저만물탱크갈고나르는데부당하다는겁니다.나씨가남자직원이니까힘도제일먹는양도저희여직원보다더많을거아니에요?저정수기거의안씁니다.물싸가지고다녀요.하팀에서잘어울릴수있을까요?왕따시키겠다는거에요?
20,20,협박 대화,너가민수라는제자니?네맞는데요왜그러시죠?혹시저희선생님께무슨일생겼나요?무슨일은그냥선생님콩팥하나정도가져가려고네.?장난치시지마세요.장난이너무거아니신가요?아어린애라상황판단못하네사진보내줄테니장난인지아닌지어.?왜그러시는건가요신고할거예요당장신고할거예요.신고해보던지어딘지는신고하게?저한테원하시는거있으시면최대한선생님해치지말아주세요그럼내가거가져다주기만해그러면그냥끝날일이야그렇게하도록할게요바로
21,21,갈취 대화,너저번에친구지갑에서돈그말을왜지금꺼내.야다불어버리기전에얼마나한테줘봐.내가왜줘야되는데?다불어버릴거라니까?니가가져간돈모든얼마면되는데?10만원만줘라.지금10만원없어.확불어버릴까보다?내일까지
22,22,기타 괴롭힘 대화,어유파리꼬여냄새가설마사람한태나는냄새는아닐테고너뭐라했냐얼래저깝치네야냅둬라뜨끔해서그런거겠지너도싶냐?우쭈쭈화났어요?왜나한테이새끼들아니가존나맘에안드니까
23,23,협박 대화,제발그만따라다녀.부탁이야너만나려면널찾아가야될거아냐우리헤어졌자나.이건스토킹이야난너가일방적으로제발나좀놔주면안돼?언제괴롭혔다고그래.다널그런거지우리집비밀번호를또어떻게너들어가는거봤지.남자친구가그정도도너네집에다른남자숨겨뒀나보지?제발그만좀해.아니라고.너의그의심병때문에헤어진거야뭐?정신병?이년이말다했냐?어디다리하나부러뜨려놔야바람을못피지.일로와
24,24,기타 괴롭힘 대화,야.거지!너네집판자촌이뭐야?왜저쓰러져가는집들있잖아.거기귀신의집같이다허물어진데?새끼.집은무너지진않잖아.쟤네집은천장에구멍도뚫려있을걸.추워서집에서이불둘둘있을텐데.용케얼어죽진않았네.날도걱정은못해줄망정그게무슨망발이냐?거지친구야줄까?있으면낫지와배려심봐라.쩔어.나도쓰던거있으니까때까지는쓸수있겠다.내가내일도쓰던거줄테니까꼭가져가.주고나면나손시려워서어떻게하냐?꼴에자존심은있는지얼굴그래봤자넌거지새끼못면해.
25,25,기타 괴롭힘 대화,여보생활비좀주세요아니이놈의마누라는입만열면돈타령이야애들학원비며.괜히애들핑계대지마!제가입고쓰는건없어요.거짓말마아주뱃살이출렁출렁여보.그러지말고생활비좀주세요뱃살거보기싫어서라도못줘정말제가먹고없어요.믿어주세요.저리가이여편네야정떨어져
26,26,협박 대화,조용히살라고했는데이새끼가깔짝깔짝건드네?그러지마.그건정말너네가잘못한거잖아야내가잘못했어도그걸뭔데뭔데마네야나쁜일이니까.경찰이야?어?경찰도아닌새끼가남의일에오지랖은.그래도그건아니야아이외골수새끼입술부르트도록쳐맞아도아직아뇌는터지도록안맞아서그러냐?나도조용히할게야니가조용히하는건하나도안중요하고이빨꽉깨물어라안그러면이제발그만해.
27,27,갈취 대화,돈을빌려갔으면갚아야지시간을조금만더주십시오내가왜?나는엄연한사업가야부탁드릴게요뭐보니까남은것도얼마없는것같은데말이야빈털털이한번만봐주세요그래도저자동차한대있네?저거밖에그럼저거라도줘야지남의돈편하게차타고다닐라했어?걸어다녀야지그러면서몸을떼우고갚아야지하지만너무비싸고.그럼아쉬울때는빌려놓고이제와서이제타령하는거야?웃기지마저거는내가가져간다
28,28,협박 대화,이리로와넌토막내서죽여줄게살려주세요난너의장난감이랑놀시간제발그만그리고너의몸장난감을아주잘갖고놀아야지이칼로왜그렇게칼로맛이있거든살려주세요살아있는재미야이새끼야경찰이다.이런미친싸이코같은놈총쏘기만해봐목를썰어
29,29,기타 괴롭힘 대화,아이스크림먹게돼있냐?난먹으면돼?그만좀해.당연히안되지너개못하는찐따잖아.야닭대가리가말도동물농장너네학교폭력으로신고하기전에그만해.아이고살려주세요으헝헝제발좀저리가.나였으면아이스크림먹을시간에공부한다.멈춰!쳐맞고다니지
30,30,갈취 대화,와한창분위기좋을때방해해서죄송합니다누.누구야?이새끼갑자기쉬쉬사장님흥분하지마시구요제가이여자오빠되는사람입니다그런데안타깝게도얘가아직18살이안됐지뭐?그게어때서?우리사.사랑하는사이야푸하하하이분재미있으신분이시네저.저기내가한번실수한것같으니용서해주게용서해드리죠다만제게뭔가있어서요사모님뭐였더라돈이필요하다면내지분을팔아서라도줌세제발그사장님소유의은행있는건물기억나시죠?그걸
31,31,기타 괴롭힘 대화,나따라한다는애구나?내가?나너안따라해.머라는거야.여기사진다있거든.너내가누군지모르지?너한번찍혀야정신차리냐?아니야나.나아니야.나아니야.애머래니?작작좀나대.진짜로나진짜아니야나이런대가보지도않았어.야니가내썸남한테꼬리쳤다며거짓말내가다듣고이러는거거든?진짜나아니야.앤가봐.재입좀어떻게하자.애들아제발이러지말아줘.말할거야.
32,32,협박 대화,자꾸이런식으로연락무시하면나도가만있지할건데?당장네집에말할거야정말그러기야?제발이제그만해네가자꾸연락무시하고해결책을내놓지않잖아어떻게하길원하는데?당장집에가서말해그건안돼.그럼나이혼당해그안하고진짜너칼로갈기갈기찢어죽여버릴거야나도가만있지않을거야.이렇게안통하니자꾸연락을차단하는거아냐네가그렇게나오면나도이제가만있지
33,33,기타 괴롭힘 대화,야너는배정되서어쩌냐왜어떄서?거기내신구리잖아.애들도다돌대가리나는상관없어어짜피공부잘하니까뭐가상관없어니공부못하는애들이고노는애들뿐일텐데걔네랑안놀아나지낼거야너도존나집공부잘하는친구들많이사귈건데그래라너는어쩌냐인생망했네그만해
34,34,기타 괴롭힘 대화,손병신.하.한숨야손병신.부르지마.뭐?병신이라그러는데.그렇게말하지말라고.야병신아.너손이그래서똥은어떻게닦냐?그런말하지말라고.이형님이말대답이야?아으이구새끼!
35,35,기타 괴롭힘 대화,너내가쳐다보지말랬지미안근데본거아니야지금쳐다보고있잖아아니야일부러본게아니야본거맞네.왜거짓말해?거짓말은나쁜거지?.응그럼맞아야겠지?미안해잘못했어뭐가잘못했는데?반성문쓸게
36,36,직장 내 괴롭힘 대화,나이가몇인데내가이런것까지일러줘야돼?죄송합니다기본적인것도탑재가안되있으면어떡해?죄송합니다.그소리좀듣기싫어제대로할수다음부터제대로해보겠습니다그따위로없을지도제대로좀해네정말죄송합니다아주교육을받아야돼문제가많아요새젊은것들은.죄송합니다
37,37,갈취 대화,나오늘지갑을안가져왔는데5만원만빌려주라아.지난번에도돈안주셨잖아요.내가급해서그래오늘꺼까지해서바로줄게약속도안지키시는데저드리기싫어요우리사이에왜그래아.저정말힘들어요이번주면다시는달라고안할게정말앞으로너안괴롭힐게한번만주라이번이마지막이에요.
38,38,직장 내 괴롭힘 대화,팀장님오늘당직이시죠?그런데?아직원부모님상당했다고문자한통전직원들에게부탁드려도될까요?서무가하는일아주말이라당직자에게나는문자못보내주겠다니가와서해라네?못들었니?니가와서보내라고.주말인데사무실까지시간좀걸리는데한번만당직자가원래해주는일도맞지아그건모르겠고니가와서보내든가말든가해라끊어라
39,39,기타 괴롭힘 대화,너왜내사진합성해서프로필사진한거야?이게왜너야?맞잖아.얼굴이랑몸을이렇게합성한이유가얼굴만살짝비슷한데?뜬금없다.이거나일부러놀리려고그런거지?그리고남의사진으로거불법이거든?아예예그래서요?이거내가했다는증거있어?내남이한거일수도있잖아그럼사진지워.싫은데??웃기잖아돼지같고좋은데뭐.야돼지얼굴에돼지몸게잘못이야?뭐?돼지라니?너진짜말좀돼지아니야?너걸을때마다꿀꿀소리내잖아.
40,40,갈취 대화,내놔없는데뭘줘?뒤져서나오면어쩔래뒤져봐뒤벼보고안나오면어쩔껀데없음니가일을하든아님집에싫은데이게진짜죽고싶나죽어아이미친년맞아야정신차리지그만해얼마필요한대이제정신드냐얼마필요하냐고가지고와라
41,41,협박 대화,니가내돈훔쳤지?아니야내가왜니돈을훔쳐없어졌는데??있던돈이?어디다른데다가흘렸겠지아니야하너집이찢어지게가난하다며그래서내가도둑을했다는거야?어당당하게눈치켜뜨네??나정말아니야너같은년은손목이분질러져야두번다시도둑질그렇지?나정말아니라구!!!큰소리내지마짜증나니까손목은분질러지고막혀야정신차릴래?
42,42,직장 내 괴롭힘 대화,야조선생이것좀해와네?부르신건가요?여기너말고있냐?그래도직장인데그렇게부르시는거는좀.뭐그럼내가존칭까지불러야겠어?일이나제대로해네.알겠습니다.일하고저기저기쓰레기도좀버리고와라.너무더럽다.저혼자하기에는너무힘든데요.그럼다내가알겠습니다.버리고오겠습니다.
43,43,기타 괴롭힘 대화,너이번에약속한만큼못뺐더라?0.1부족한거였잖아.그래도못뺀거지어떻게그정도도못빼냐.나도노력했어나도노력했는데.안되는걸하냐고.나도그정도는먹기로했어돼지가이상한나돼지아니야.더노력하면예뻐질거야.돼지가노력하면이뻐진대.돼지가예쁘면얼마나예쁘다고다아니라니까.쪽팔리다돼지야돼지야넌나보고아는체하지마.오빠미워.
44,44,갈취 대화,아줌마운전을하면어떻게해요?네?무슨일이시죠?주차하면서내오토바이를쳤잖아요.무슨소리에요?이렇게주차선안에차가잘들어가있는데.여기보세요.제오토바이가이렇게쓰러져있잖아요.아줌마내오토바이를말도안되는소리를이렇게!경찰을불러도되지만여기가호텔위해서내가싸게처리할게요.한50?어때요?말도안되는소리마세요.그럼경찰도부르고보험회사도부르고아줌마남편도부를까?사이좋게남편하고운전연수하면되겠네.이거완전
45,45,직장 내 괴롭힘 대화,저이번에육아휴직좀내려구요남잔데무슨육아휴직이야아내너무힘들어해서요그래서힘들줄아냐근데회사중에유가의휴직제도있던데요쓸순있지한번말씀이신가요니가휴직하고와서니자리가있는지보라고너무부당하다고생각합니다지금당장
46,46,기타 괴롭힘 대화,재형아미친새끼가누구보고재형이래더럽네하.하.?야내가기분나빠존제자체가새끼야야보고새끼라고하지마새끼란욕이불쌍해그래내가미안하니까이제그만해잘못했어현우야작작하자괜히심하게건들다가큰일날것같으니까나중에적당히건들자아니웃긴새끼네야날나쁜사람으로만드냐니가명령을해야현우야적당히하자니까저더러운놈잘못건들면우리만착한내가참는다.야적당히하라고내가뭔죄를졌길래계속그러는데작작해이새끼가미쳤구나하교시간때보자먼지나도록맞을준비하고새끼중학교생활망했네너말이야사람잘못건들었어성적표점수도준비하고
47,47,기타 괴롭힘 대화,야제팔한짝없어애들아놀리지마.야뭘놀린다고그러냐놀리는거내가듣기에는놀리는거로밖에안들려하.이시발럼이야뒤질래?왜그래.야화나게하잖아시발너가놀리는거같아서.야놀리는거아니라고몇번을말해한번더말대꾸해봐다음엔죽여버린다응
48,48,갈취 대화,야좋은말로할때놓고가라이거아빠가사주신거에요아니그냥빨리벗고가진짜야내가만만하냐놓고가라고제발요지랄하지말고가진거다제발돌려주세요뭘되돌려줘이새끼야안돼요
49,49,협박 대화,너가게임팀킬장인맞냐?응맞는데왜불렀는데조그마해서초등학생도못이길덩치구만.형이햄버거기분풀고집에가렴.야클랜전이었는데너때문에망한거잖아.니우리클랜내려갔더라?기분좋냐?야그거때문에그러냐?애가게임이랑현실이랑구분못하네.그니까너가방구석히키코모리처럼사는거그래말할있을때계속애기해봐.말할수있을때까지내가너누군지제발현실이랑좀해라그러다사람죽이게생겼다?왜떨어졌다고사람죽이게?잘아네.내가현질해서거기까지올려놨구만너가망쳤는데책임져야지.니가실컷난게임이랑못하니까게임처럼죽여볼게.진짜바로죽나왜이래.게임일뿐인데다음부터그럴게.랭킹높여놔줄게.애초에너가말했으면바로넘어갔을텐데.왜자존감도그이총한번헤드샷날리면쓰러지러더라?덕분에실제로그런지테스트해볼수있게됐네야고맙다고마워.왜이래.총은또어디서빨리내려놔.그러다가범죄자된다니까?
50,50,갈취 대화,야저기지나가는애가산다며?예.형님제가우리잘산다는애중에하나입니다.맞습니다.어리버리하긴해도집안끝내준다고하더라구요그래제좀불러와라예형님!!야너잠깐우리좀네저를요?왜요??말에토달지말고가보면아냐따라와야너네좀산다며?우리가하는데뭐가없어서말이야지갑좀빌려주라이러지마세여전돈없어요아그래?그럼가방뒤져서돈나오면얼굴한대맞는다?맞고줄래.곱게줄래??
51,51,직장 내 괴롭힘 대화,최대리는이제살좀빼야지그래사람이너무둔해보이네살좀게어때운동을하고있습니다회사일이바쁜데운동할시간은있나봐?일은제대로하지도않으면서칼퇴는잘만하잖아요죄송합니다운동을하는게아니라먹는줄이라는거야사무실에서하고죄송합니다말로만맨날뭐해
52,52,기타 괴롭힘 대화,새우버거아고객님말고저희가게는치즈버거있는데그걸로드릴까요?무슨말이그렇게많아!아죄송합니다.이름이달라서확인차여쭸습니다그래서뭐를준다는말이야?주면주라는대로줘!받았을때먹기확인한것뿐입니다.죄송합니다아뭐가다르냔말이야!!!!!!!!1아새우가같은데치즈도들어가있고치즈를빼고주면될꺼아냐!!!!!!!!!!!!!!!이멍청아무슨말이그렇게많아
53,53,기타 괴롭힘 대화,야손가락장애뭐??귀도장애있냐?왜너지금뭐라했어왜장애보고장애라고하는게잘못이야?당장사과해싫은데내가왜?너가만안둘꺼야정말무섭네꺼져
54,54,기타 괴롭힘 대화,철중아?안녕!야!너카톡방나갔는데다시초대하고지랄이야?야!지랄이라고했냐?!많이컸네이새끼가버러지같은게아직정신못하.진짜개빡치게하네주제에저새끼가뭐라고하는거냐머저리래주제파악못하는모지리는아니냐있을것이지어디서깝치길깝쳐?!계속이러면가만히있지어쩔건데?!어쩔거냐고!!아빠한테이를거야이런개찌질한짓이라도하려고?!
55,55,협박 대화,저기요할아버지여기버스안이기도한데환기도잘안되니까마스크좀써주세요.너가뭔데나보고쓰라말아야?나한테뭐그게아니고이제버스에서마스크안쓰면해요.그래서뭐어쩌라고.지금나내좇을수있는사람그럼여기서내리세요제가공공장소인데피해주면너내가각오해.마스크?그거평생안쓰게만들어줄게.그게뭔소리세요.그런말함부러하시면안되죠.아무리연세가많으시다고해도.왜신경을건드려.내가조용하지만어릴적에는여럿패고다녔어.오랜만에힘좀써야하네.협박하시면마스크하나써달라고했다고그렇게말씀하시지마세요.뭐무슨상관인가?실제로오늘저녁에죽을거같을때신나게신고하던지끌끌
56,56,기타 괴롭힘 대화,사진봐못생겼다이런댓글달지팩트인데뭐얼굴토나온다사진뭐야?눈이너무작아다신고할겁니다죄로?빻았다진짜뭐야닮음메기
57,57,갈취 대화,너돈많냐?돈좀빌리자.돈안갚을거잖아.내가왜빌려줘야돼?아이그럼확뺏어?이게무슨.빌려줄래?둘다싫은데.돈지금가지고있는거다내놔.안돼.제발그냥조금만거야.알겠지?하.이럴
58,58,갈취 대화,친구야어.?무슨일이야?너오늘화장했어?아응.좀잘먹었다뭐썼어?아이거이번신상아니야?너무이쁘다나갖구싶어별로안비싸던데그래?별로안비싸니까니가하나새거사면되겠다그치?어?.그건.얼른친구야
59,59,기타 괴롭힘 대화,어이아가씨!!저아세요.?이쁜데어디살아?가세요.아비싸게굴지몸매따라오지마세요!!아그러지말고좀따라와봐.거보여줄게.따라오지마시라고요!!!더럽게구네!!따라오라고!!이거놔요!!!!!
60,60,직장 내 괴롭힘 대화,인재씨회사가만만해요?그게말씀이세요차장님지난주에저한테사직고려중이라고말하지않았나요그건제가면담하다가감정이욱해서그랬습니다그럼지금은맘이바뀌었습니까네다니기로했습니다죄송합니다어휴그때사직서를받아놨어야죄송합니다저는인재씨잘라버리고싶어요.일처리똑바로마음이아프네요
61,61,갈취 대화,저기요.저좀무슨일이세요?다치신덴없으세요?감사합니다.제가지금돈도없고어딘지도모르겠어요.아그러시군요.잠시따뜻한곳으로옮기시죠덕분에좀살것같네요.보상을해주셔야될같은데.네?전가진게없어요.나중에잊지않고꼭보답할께요.그럼다른것으로라도보답해야지.제가뭐하러당신을아.진짜잊지않고보답하겠습니다.저좀집으로갈수있게도와주세요.그러니까돈을주던가다른걸로보답을하던가
62,62,기타 괴롭힘 대화,어이코털왜왜?아놔됐고너매점가서두개에콜라하나사와라나돈없어돈없어?그럼내가돈줄께어여기1000원줄테니까빵두개콜라하나사고거스름돈거슬러와라야택도없어야뒤질래?쌔벼서라도갖고와색키야야
63,63,협박 대화,저랑사귀어주세요.오빠신인때부터제가응원해왔고오빠가여기까지올라올수있었던건덕분이잖아요.!무슨소리야.무서운소리하지말고당장내앞에서꺼져.아니면매니저부르고경찰에신고할거야.오빠.팬사인회에서사랑한다면서요.무대때도쪽계솓쳐다봤으면서.!난누구인지기억도못하겠고그런적없어.제발내팬이라면이제오빠앞에서죽어버렸으면좋겠어요?오빠는팬죽는거보고싶어요.?너손에그거뭐야.당장내려놔.위험해.사랑할수없다면전신문사기자한테도소문저임신시키고낙태시켰다구요.너미쳤구나.소름끼친다.나경찰불렀고너곧잡혀갈거야.좋은말할때그칼내려놔.오빠.나오빠가어제연예인랑데이트하는거봤어요.오빤날배신했네.?난오빠만바라봤는데.죽어버릴거야!!!손목그을거야.오빠도같이나랑가.다음생에우리평생악제발마!!!
64,64,기타 괴롭힘 대화,아김여사진짜짜증나네아줌마차빨리뺍시다아죄송합니다.진짜아줌마가뭔운전이야밥이나할것이지나와서민폐끼치네말이너무거아녜요.?뭐?이아줌마가겁상실했고만김여사앞으로집에서키우면서남편내조나잘해여자가뭔운전이야저런사람을다봤나!하어이가없어서
65,65,기타 괴롭힘 대화,야빵좀사와미안해나영아오늘은돈이없어아니이미친놈이애들삥뜯어서라도아니내가어떡해그렇게하니이새끼가대들어?그럼빵을훔쳐서라도오라고미친것아너이상해도대체왜그러는거야미친것이우리가우습나그냥니가만만하니까그런거지아그렇구나아아그렇구나그런식으로말만하지말고빨리사와쓰레기야
66,66,직장 내 괴롭힘 대화,야너커피타와봐라저말씀하시는겁니까?그래여기서잡일할사람이말고누가있는데?죄송합니다지금타왔습니다.어씨야이거먹으라고거맞냐?똑같은믹스커피를무슨이렇게맛대가리없이탔어그리고뭐화상입어서죽으라고이렇게탔냐?아이고죄송합니다.최대한정성탔는데입맛에안죄송해요.어떻게잘하는하나도없어내가안쓰러워지려고한다.어떻게지금까지잘살아있냐잘하는것도죄송합니다앞으로노력하겠습니다.당연히노력해야지너지금이렇게살면뭐뒤에집에서백수로살아야해너받아줄회사없다고똑바로해죄송합니다.
67,67,기타 괴롭힘 대화,야저사람봐봐진짜그티비에나오는개그맨닮지않았냐?푸하하하핳야진짜못생겼다헐너무크게얘기했나봐저기요지금말씀하신거에요???아네그냥가던길야저사람대신귀는밝은가봐자기가못생긴지아나보네저기요저한테하신말맞네요저지금심각한모욕감을느끼고있는데빨리사과하세요네?다른사람보고한말인데요?너무예민한거같은데요?제가다들었어요그두분들도잘생기신편은권리가어디있나요대체?
68,68,직장 내 괴롭힘 대화,아니김대리도대체일처리가이모양이냐?제가혹시실수한거있나요?아말대꾸따박따박같네야내가니친구로보이냐?아닙니다.진짜회사에서찍히고싶은거지?죄송합니다그런의도로말한건그냥회사에서쥐죽은듯이살아알겠습니다.
69,69,협박 대화,너왜안듣는데?들을게.말만그렇게하고니가하는게없는데?너그럴때마다진짜죽이고싶다니.진심이야.나칼로너찌를수있어.못할것같냐?진정해너같으면진정되겠냐?나지금칼가져올거야.미안해.계속진짜너죽일거야안그럴게
70,70,기타 괴롭힘 대화,니가드디어아들을낳으니속이시원하다.네아버지.내가그동안명절마다사돈에전화할때마다네가네역할을다하지못해서얼마나창피한줄알았니?얼굴도들지도못했다.아아버지.하아.더고생이심했어요.아기를마침다행이고.네아버지.이와서너무근데너시험관하느라년허비한거알지?니나이가몇인데빨랑둘째가져.아버지.저진짜힘들게아기둘째생각없어요.네가큰딸인데그게무슨소리야?빨랑둘째가져라.키우느라쉰다매.어차피시간도많은데다니면서힘써라.아버지.애키우는것도힘들어요.정말.
71,71,협박 대화,자네가내일삼송그룹192억탈세를했다는사실을기사로내보낸다는기자인가?네좋은말로할때그기사올리지말게.당신은천호초앞우미린아파트602동101호에자식은8시35분경에등교를하여4시에딩동댕피아노학원에가지?헉.그걸어떻게앞에한말잘거야.우리가이런말을했는지모르겠나?제가만약올리게된다면어떻게되나요저는시민들의알권리가있고대한민국을밝히는일이제직업적소명이기에기자라는직업을자네같은기자만수십아니하루에도열명씩처리한다네.이세상엔권력이면자네목숨값하나정도야쉬워안한다고하면목숨은챙겨나갈있지만내일이면당신포함당신의가족들전부가죽게될거야이세상엔경찰들이있지않습니까?분명폭로한다고기자가죽는보고공론화되어서당신들이다죽인게탄로날거에요말귀를잘못알아자네가이세상을바꿀있을거라생각한다면큰멍청한직업적소명에내일당장작별인사도못한채로산에묻히기싫으면조용히파일을넘기고나가게네살려주세요
